,date,state,indians,foreigns,cured,deaths,confirmed
0,2020-01-30,0,1,0,0,0,1
1,2020-01-31,0,1,0,0,0,1
2,2020-02-01,0,2,0,0,0,2
3,2020-02-02,0,3,0,0,0,3
4,2020-02-03,0,3,0,0,0,3
5,2020-02-04,0,3,0,0,0,3
6,2020-02-05,0,3,0,0,0,3
7,2020-02-06,0,3,0,0,0,3
8,2020-02-07,0,3,0,0,0,3
9,2020-02-08,0,3,0,0,0,3
10,2020-02-09,0,3,0,0,0,3
11,2020-02-10,0,3,0,0,0,3
12,2020-02-11,0,3,0,0,0,3
13,2020-02-12,0,3,0,0,0,3
14,2020-02-13,0,3,0,0,0,3
15,2020-02-14,0,3,0,0,0,3
16,2020-02-15,0,3,0,0,0,3
17,2020-02-16,0,3,0,0,0,3
18,2020-02-17,0,3,0,0,0,3
19,2020-02-18,0,3,0,0,0,3
20,2020-02-19,0,3,0,0,0,3
21,2020-02-20,0,3,0,0,0,3
22,2020-02-21,0,3,0,0,0,3
23,2020-02-22,0,3,0,0,0,3
24,2020-02-23,0,3,0,0,0,3
25,2020-02-24,0,3,0,0,0,3
26,2020-02-25,0,3,0,0,0,3
27,2020-02-26,0,3,0,0,0,3
28,2020-02-27,0,3,0,0,0,3
29,2020-02-28,0,3,0,0,0,3
30,2020-02-29,0,3,0,0,0,3
31,2020-03-01,0,3,0,0,0,3
32,2020-03-02,1,1,0,0,0,1
33,2020-03-02,0,3,0,0,0,3
34,2020-03-02,2,1,0,0,0,1
35,2020-03-03,1,1,0,0,0,1
36,2020-03-03,3,0,1,0,0,1
37,2020-03-03,0,3,0,3,0,3
38,2020-03-03,2,1,0,0,0,1
39,2020-03-04,4,6,0,0,0,6
40,2020-03-04,0,3,0,3,0,3
41,2020-03-04,5,0,2,0,0,2
42,2020-03-04,2,1,0,0,0,1
43,2020-03-04,1,1,0,0,0,1
44,2020-03-04,3,1,14,0,0,15
45,2020-03-05,2,2,0,0,0,2
46,2020-03-05,5,0,2,0,0,2
47,2020-03-05,0,3,0,3,0,3
48,2020-03-05,3,1,14,0,0,15
49,2020-03-05,1,1,0,0,0,1
50,2020-03-05,4,7,0,0,0,7
51,2020-03-06,2,3,0,0,0,3
52,2020-03-06,5,0,2,0,0,2
53,2020-03-06,0,3,0,3,0,3
54,2020-03-06,3,1,14,0,0,15
55,2020-03-06,4,7,0,0,0,7
56,2020-03-06,1,1,0,0,0,1
57,2020-03-07,0,3,0,3,0,3
58,2020-03-07,4,7,0,0,0,7
59,2020-03-07,6,2,0,0,0,2
60,2020-03-07,1,1,0,0,0,1
61,2020-03-07,7,1,0,0,0,1
62,2020-03-07,2,3,0,0,0,3
63,2020-03-07,5,0,2,0,0,2
64,2020-03-07,3,1,14,0,0,15
65,2020-03-08,6,2,0,0,0,2
66,2020-03-08,1,1,0,0,0,1
67,2020-03-08,7,1,0,0,0,1
68,2020-03-08,3,1,14,0,0,15
69,2020-03-08,0,8,0,3,0,8
70,2020-03-08,5,0,2,0,0,2
71,2020-03-08,2,3,0,0,0,3
72,2020-03-08,4,7,0,0,0,7
73,2020-03-09,6,2,0,0,0,2
74,2020-03-09,8,1,0,0,0,1
75,2020-03-09,0,9,0,3,0,9
76,2020-03-09,9,2,0,0,0,2
77,2020-03-09,10,1,0,0,0,1
78,2020-03-09,3,1,14,0,0,15
79,2020-03-09,7,1,0,0,0,1
80,2020-03-09,1,1,0,0,0,1
81,2020-03-09,11,1,0,0,0,1
82,2020-03-09,4,7,0,0,0,7
